x_1,x_2,x_3,x_4,x_5,x_6,x_7,y
113.17170811322717,110.5214039913254,118.03522665129869,106.87864710342566,133.71224507875732,92.82131523986754,8.500857647949534,-45.1760329821828
111.73739380131835,110.22855776612141,117.10610336358455,107.16458346085489,132.58832326241392,91.44208157139117,8.833735785026375,-48.20824984114719
112.22897251099305,111.4162617761078,116.070977707374,107.32468119660491,131.60298238875617,91.32071649678936,7.719674930202496,-48.57939820943417
110.929002395778,111.42295199822763,115.66945054592114,106.83565295357742,131.32240802507147,89.97912004132553,7.182069452547739,-48.82124322310982
111.4414421805985,111.65374865398815,118.67412109231329,106.9340309432237,134.66646365878395,90.0529187191028,7.632356518335715,-48.30825210874172
113.06702619284718,111.7356125832124,117.8718104461526,107.19077711887954,133.4873199170953,91.46562640034863,8.003384595503311,-48.59063063333924
113.27854112469034,112.82507198179226,118.01513293575397,107.66619300274928,133.89173337637243,90.97593648181018,7.073229324441409,-48.98948957375505
112.23617379764403,110.92996045087698,115.42447551848798,106.6702115516013,130.88252012435444,91.62012221812773,7.587679442744699,-45.751389871661395
112.42734319409657,112.1480165095915,116.07498874146255,106.29968359133612,131.89745828392577,91.28348764324612,6.421430935485766,-42.199012496800705
114.57118066504285,112.43837676032271,116.89524900676963,107.23061846374488,132.9806484274157,92.71397950979167,5.965817662311261,-43.52203796502238
114.27169153258404,113.14355656613577,117.92374532494318,107.57873009962204,134.39109732751123,92.86153446812766,5.629884535142158,-41.653501513110754
115.23067657378942,113.11977298279142,118.59342438638558,108.18534891260538,134.94974290949818,94.03390163648638,6.40177163852012,-45.68003328204592
113.06459541586756,111.79933919678481,115.42364240580136,106.70136226795641,131.3072410768446,93.00291204306228,6.416047845108013,-43.95427779330147
114.27658678468457,112.67664504590482,115.50384330438716,107.99188061739706,131.5815071421224,93.49019427048178,5.815067474875187,-44.22136137857223
113.24860884694465,112.25263604316056,114.94429667565988,107.3559326782881,131.06025092818862,93.12057414091532,5.649423404033868,-42.62238521098301
111.12196091425005,110.32667746198307,111.81538166002179,106.41573703108799,127.31491108288056,92.2219578499775,6.37706874674866,-43.26423822576373
110.24750667194141,110.21454685501361,113.543460146449,105.87843014095058,129.0401863002485,92.21345294786585,7.459606072572566,-43.51812592145112
110.60937789212986,109.94672776449532,112.30611460899449,106.51851718396567,127.774488103903,91.83668553032646,6.911373138144848,-43.8335078445817
108.85942405091829,109.21655338267428,109.0094361627056,105.71839681485062,123.79016144023224,91.56635726034679,7.524313446835867,-42.09258481467697
111.78093632005763,109.4549533411852,111.79038611067185,106.70337709253536,127.01836925882067,92.95762818185257,7.29712657850502,-42.13823450234296
112.64143025149141,108.70233635071983,113.92850770005597,106.1774811773873,129.2743380865333,93.17963338541477,7.819680610068274,-42.5897087582407
112.1558915741593,109.12178887428354,115.21326523151166,105.88530940907665,130.50198031342865,92.7654936310468,8.482505841741068,-41.56809689143442
110.40151231614698,109.44246889138823,114.49730157731331,106.23312435305775,129.76581525818943,91.62322895284356,8.557870002424638,-43.54072301605075
111.1789852742875,109.62849901130474,113.57406211451787,106.40789903109449,128.76001168890656,92.85297637019488,8.370844834940007,-41.37752781737938
112.18644073253905,108.8763209220975,113.22085569885212,105.72264804807075,128.25960723198568,94.9587305471243,8.769783097772413,-38.74431290673995
112.71041996692924,109.85908323882205,113.99436184428977,106.73302911831476,128.9985817980216,95.18308414855902,9.168550454886656,-39.26895501128779
113.96985998830854,109.57238068564912,114.47403352112573,107.21779792484139,129.57600307809145,96.3344462466494,9.22696003395673,-38.78412289762504
115.12576783514503,110.12319494112873,113.89881976342747,107.28893190366368,128.99966808537027,98.5304336758247,9.033084149784209,-38.84273068036309
112.5644534540226,109.57016108996258,109.96060340545881,107.52837932927683,125.0076437705326,96.01882836932182,7.6677359971278385,-38.77942117935005
112.94832847690812,108.97153334283777,107.55288621639131,106.67502322838679,122.55027830322827,96.16881146904933,6.365830006796946,-37.26471789183171
113.48492776843555,110.67302743830011,108.35212252291731,107.26733992496403,122.8633095905517,96.47670628748249,7.619195620778211,-38.81117983823926
112.45874078961026,112.06909574688257,108.16340469398509,107.00741144209944,122.76222859318307,96.35510343537175,7.263382627770955,-38.42248913028321
112.02809096526404,111.53403587357846,107.79287310500084,107.28367011769963,122.21159562401283,95.93719431510237,7.784670279128903,-40.565441073110065
112.4293315398804,111.75264526148688,110.5060693549738,107.63764416642412,125.1513891944037,96.17652932890059,8.544465037288049,-40.905792170799984
111.5058279411096,111.34302384109492,109.19034803402104,107.42754737936207,123.49518861296853,95.61102509334201,8.96632484409976,-40.92163117341867
110.39471215480695,112.53263477220412,111.30423917372573,107.93465805617703,125.71314765499743,94.23171432436598,9.656380066927133,-42.4726555157782
110.46039461396137,112.5977143447566,109.25567919602418,108.89057071521661,124.13475891587254,93.38530112857336,7.454902053770631,-43.94982829267699
110.26323022303427,112.53539016908096,109.50093856543869,107.34082508088976,124.01619642260307,93.28945449544749,8.0770943237298,-42.520824369674116
111.94525173728809,112.35947883475477,110.20003653358971,107.6947922816335,124.99629410478714,93.81584729143572,7.365100794592575,-42.654672244851135
112.16773127570615,111.65296100037553,110.80643643843729,107.09729485635894,125.93174242637004,93.58872501462916,6.683204859234179,-39.3191797437395
113.22517185299341,112.1945146781267,111.3081374199235,106.71888341125037,126.28872606874945,94.20699657905747,6.812175252368085,-36.907738992178146
113.29015507805168,112.59007898603309,110.23408083098936,107.35396345528807,125.29400235049182,94.0201863987666,6.091906208730222,-39.832606105660155
114.74913123018241,111.65838790132987,110.55410188904168,107.71080031018292,126.30275050796952,95.3966257840152,4.70798723409391,-38.67177762052008
114.56594770907282,111.82943155042962,109.26682994616462,107.82353667164124,125.08857898063081,95.17720972313107,3.8821740308312638,-38.61484336377525
115.44903759368124,111.6973452665371,108.15918372991516,108.02800217061261,124.0159517816564,95.53451472966772,3.0903897851462485,-39.84853572959511
115.40830055917236,110.47852974250893,106.75614157221544,108.07546728671558,122.09757191496317,97.518728256197,4.5965966788772175,-38.73124870937781
115.9111813097726,110.95137508980059,108.60835523633952,108.90557942235141,123.85441122180535,98.03767479153073,5.852596268642229,-41.840784737495945
114.2185380164803,111.0185117799297,106.00084458771983,108.68661118641002,120.95014741032247,97.2623094319467,5.645625822639312,-37.67390274779746
115.22341220991719,111.8024885405426,108.42376179207479,108.84434289806985,123.45323093094883,97.36122298007204,6.143724173104737,-39.92202695349665
